Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families,Irish,EEA/UK,Non-EEA,Month,Year
Dublin,3919,2194,1725,609,2447,792,71,1631,2279,67,0,1191,1658,724,2509,,,,January,2018
Mid-East,290,171,119,46,163,77,4,153,114,23,0,33,46,20,90,,,,January,2018
Midlands,78,43,35,17,47,13,1,38,40,0,0,18,25,11,38,,,,January,2018
Mid-West,372,207,165,53,227,83,9,88,247,47,0,75,110,40,153,,,,January,2018
North-East,155,90,65,28,91,31,5,101,51,3,0,52,73,31,101,,,,January,2018
North-West,53,38,15,3,28,20,2,5,23,13,12,2,3,1,7,,,,January,2018
South-East,354,235,119,51,196,97,10,117,197,4,36,44,64,24,78,,,,January,2018
South-West,375,245,130,52,226,88,9,197,196,0,0,63,84,42,165,,,,January,2018
West,241,152,89,32,144,60,5,94,111,35,4,39,59,19,126,,,,January,2018
Dublin,4021,2238,1783,640,2509,802,70,1630,2377,66,0,1329,1846,812,2801,,,,February,2018
Mid-East,294,172,122,38,180,68,8,156,114,24,0,44,56,32,117,,,,February,2018
Midlands,85,44,41,16,57,11,1,46,39,0,0,27,38,16,60,,,,February,2018
Mid-West,378,230,148,54,231,85,8,100,232,49,0,82,122,42,160,,,,February,2018
North-East,155,89,66,25,96,28,6,100,53,2,0,63,92,34,155,,,,February,2018
North-West,53,39,14,2,32,18,1,8,22,13,10,4,6,2,11,,,,February,2018
South-East,378,249,129,59,199,109,11,143,193,4,38,50,74,26,83,,,,February,2018
South-West,434,266,168,70,263,94,7,263,181,0,0,91,128,54,222,,,,February,2018
West,254,155,99,34,143,70,7,112,121,24,4,49,69,29,146,,,,February,2018
Dublin,4107,2282,1825,643,2561,832,71,1740,2395,66,0,1329,1853,805,2780,,,,March,2018
Mid-East,319,177,142,46,183,81,9,170,124,25,0,56,70,42,143,,,,March,2018
Midlands,95,46,49,18,64,13,0,55,40,0,0,28,38,18,54,,,,March,2018
Mid-West,361,221,140,50,215,87,9,115,205,44,0,59,85,33,108,,,,March,2018
North-East,60,43,17,16,15,23,6,0,57,3,0,23,35,11,49,,,,March,2018
North-West,59,41,18,6,33,19,1,13,23,14,9,7,8,6,16,,,,March,2018
South-East,352,236,116,59,189,92,12,139,181,4,28,45,67,23,64,,,,March,2018
South-West,402,251,151,63,240,91,8,235,194,0,0,91,121,61,214,,,,March,2018
West,280,169,111,42,155,73,10,127,126,26,4,82,125,39,218,,,,March,2018
Dublin,4005,2199,1806,630,2460,844,71,1726,2323,66,0,1351,1899,803,2810,,,,April,2018
Mid-East,290,168,122,40,165,75,10,136,132,22,0,47,58,36,141,,,,April,2018
Midlands,105,53,52,22,62,21,0,63,42,0,0,30,41,19,75,,,,April,2018
Mid-West,363,220,143,52,212,88,11,118,201,44,0,66,89,43,127,,,,April,2018
North-East,128,68,60,15,75,33,5,73,54,1,0,19,26,12,45,,,,April,2018
North-West,59,41,18,6,37,15,1,10,26,12,11,3,4,2,8,,,,April,2018
South-East,298,209,89,56,160,73,9,71,194,4,29,30,36,24,62,,,,April,2018
South-West,424,262,162,61,253,99,11,253,186,0,0,86,119,53,205,,,,April,2018
West,291,175,116,42,168,72,9,139,151,0,3,80,124,36,216,,,,April,2018
Dublin,4062,2219,1843,638,2476,876,72,1712,2328,67,0,1338,1859,817,2886,,,,May,2018
Mid-East,282,159,123,35,168,71,8,114,146,22,0,48,60,36,130,,,,May,2018
Midlands,103,56,47,17,73,12,1,65,38,0,0,27,39,15,69,,,,May,2018
Mid-West,386,230,156,54,228,94,10,128,211,52,0,73,102,44,141,,,,May,2018
North-East,116,68,48,13,65,31,7,61,54,1,0,25,29,21,55,,,,May,2018
North-West,55,41,14,2,31,21,1,10,26,13,6,3,4,2,8,,,,May,2018
South-East,309,210,99,57,164,77,11,81,195,4,29,28,34,22,58,,,,May,2018
South-West,426,256,170,62,257,97,10,250,186,0,0,100,134,66,246,,,,May,2018
West,281,159,122,44,160,69,8,142,136,0,3,82,127,37,233,,,,May,2018
Dublin,4083,2227,1856,620,2505,884,74,1731,2326,68,0,1352,1878,826,2858,,,,June,2018
Mid-East,267,159,108,30,157,69,11,123,122,22,0,51,63,39,124,,,,June,2018
Midlands,100,54,46,21,59,19,1,62,38,0,0,25,36,14,70,,,,June,2018
Mid-West,386,228,158,55,228,90,13,131,202,53,0,84,115,53,173,,,,June,2018
North-East,129,71,58,10,80,32,7,75,53,1,0,24,28,20,54,,,,June,2018
North-West,49,35,14,4,23,21,1,9,24,12,4,4,6,2,9,,,,June,2018
South-East,314,209,105,61,167,79,7,90,192,3,29,38,45,31,72,,,,June,2018
South-West,428,246,182,72,252,95,9,266,177,0,0,93,127,59,257,,,,June,2018
West,292,164,128,39,177,69,7,150,138,0,4,83,129,37,207,,,,June,2018
Dublin,4097,2218,1879,612,2506,904,74,2352,2352,67,0,1367,1896,838,2894,,,,July,2018
Mid-East,248,145,103,28,145,63,115,111,111,22,0,51,63,39,129,,,,July,2018
Midlands,104,54,50,25,63,15,67,37,37,0,0,35,52,18,83,,,,July,2018
Mid-West,379,220,159,54,216,95,14,134,201,47,0,85,113,57,176,,,,July,2018
North-East,127,71,56,10,75,33,9,76,50,1,0,21,26,16,43,,,,July,2018
North-West,47,39,8,9,22,15,1,11,21,13,2,4,6,2,7,,,,July,2018
South-East,310,203,107,65,159,78,8,96,187,4,26,35,42,28,71,,,,July,2018
South-West,425,245,180,72,247,96,10,246,193,0,0,95,125,65,255,,,,July,2018
West,287,165,122,38,174,69,6,155,129,0,3,85,134,36,209,,,,July,2018
Dublin,3944,2147,1797,571,2398,899,76,1778,2183,65,0,1307,1821,793,2821,,,,August,2018
Mid-East,212,130,82,30,111,62,9,139,52,21,0,38,44,32,74,,,,August,2018
Midlands,104,51,53,23,69,11,1,65,39,0,0,38,54,22,87,,,,August,2018
Mid-West,370,229,141,49,213,95,13,122,203,45,0,79,107,51,162,,,,August,2018
North-East,132,79,53,13,77,34,8,71,60,1,0,28,34,22,62,,,,August,2018
North-West,67,48,19,14,36,16,1,22,26,15,5,6,9,3,15,,,,August,2018
South-East,317,212,105,65,165,79,8,112,188,4,13,36,43,29,71,,,,August,2018
South-West,430,242,188,72,249,100,9,257,202,0,0,98,132,64,247,,,,August,2018
West,258,149,109,38,145,71,4,142,113,0,3,68,106,30,154,,,,August,2018
Dublin,3940,2125,1815,578,2381,903,78,1787,2179,57,0,1326,1839,813,2869,,,,September,2018
Mid-East,221,131,90,25,140,53,3,152,65,4,0,45,58,32,106,,,,September,2018
Midlands,111,54,57,37,68,5,1,74,37,0,0,43,64,22,104,,,,September,2018
Mid-West,354,217,137,49,203,93,9,120,199,38,0,78,106,50,168,,,,September,2018
North-East,132,80,52,14,82,29,7,66,65,1,0,29,35,23,63,,,,September,2018
North-West,54,36,18,9,24,20,1,11,25,13,5,5,7,3,14,,,,September,2018
South-East,338,220,118,72,170,86,10,123,191,4,20,35,46,24,66,,,,September,2018
South-West,457,263,194,69,282,95,11,268,197,0,0,116,148,84,280,,,,September,2018
West,262,149,113,40,157,60,5,150,110,0,5,76,117,35,159,,,,September,2018
Dublin,4027,2191,1836,544,2454,950,79,1838,2180,64,0,1295,1810,780,2800,,,,October,2018
Mid-East,213,124,89,26,128,56,3,139,71,3,0,39,49,29,96,,,,October,2018
Midlands,102,51,51,24,60,15,3,65,37,0,0,37,52,22,81,,,,October,2018
Mid-West,369,231,138,52,208,101,8,123,200,46,0,73,97,49,156,,,,October,2018
North-East,133,83,50,13,81,32,7,56,74,3,0,23,31,15,59,,,,October,2018
North-West,57,36,21,10,27,19,1,17,25,12,3,10,15,5,19,,,,October,2018
South-East,347,225,122,70,175,92,10,125,198,4,20,37,45,29,74,,,,October,2018
South-West,460,262,198,68,279,103,10,272,198,0,0,118,152,84,273,,,,October,2018
West,291,164,127,46,168,69,8,164,122,0,5,77,117,37,167,,,,October,2018
Dublin,4129,2299,1830,552,2503,994,80,2002,2162,64,0,1296,1819,772,2816,,,,November,2018
Mid-East,223,131,92,30,135,55,3,110,110,3,0,44,57,31,104,,,,November,2018
Midlands,118,62,56,25,68,21,4,81,37,0,0,43,61,25,103,,,,November,2018
Mid-West,385,239,146,58,211,108,8,136,199,50,0,81,109,53,160,,,,November,2018
North-East,142,92,50,14,86,33,9,60,79,3,0,22,30,14,59,,,,November,2018
North-West,55,38,17,12,25,15,3,17,27,7,4,7,12,2,17,,,,November,2018
